Date,Close,PE,diff_years,SMA200,PEinvest,PEstocks,PEreturn,sipinvest,sipstocks,sipreturn,SMAinvest,SMAstocks,SMAreturn,PEcagr,sipcagr,SMAcagr
2000-01-03,1592.2,25.91,22.661656296843876,1459.62625,50000,31.403090064062305,550898.1283758322,125000,78.50772516015576,1377245.3209395804,100000,62.80618012812461,1101796.2567516644,11.169389800605689,11.169389800605689,11.169389800605689
2000-01-04,1638.7,26.67,22.658918389836888,1459.62625,50000,30.51199121254653,535265.7594434612,125000,76.27997803136633,1338164.398608653,100000,61.02398242509306,1070531.5188869224,11.029667236548345,11.029667236548345,11.029667236548345
2000-01-05,1595.8,25.97,22.6561804828299,1459.62625,50000,31.33224714876551,549655.3452813636,125000,78.33061787191377,1374138.363203409,100000,62.66449429753102,1099310.6905627272,11.16115323266409,11.16115323266409,11.16115323266409
2000-01-06,1617.6,26.32,22.65344257582291,1459.62625,50000,30.909990108803168,542247.7744807121,125000,77.27497527200792,1355619.4362017806,100000,61.819980217606336,1084495.5489614243,11.096013371347158,11.096013371347158,11.096013371347158
2000-01-07,1613.3,26.25,22.650704668815923,1459.62625,50000,30.99237587553462,543693.0515093287,125000,77.48093968883654,1359232.6287733216,100000,61.98475175106924,1087386.1030186573,11.110482801377453,11.110482801377453,11.110482801377453
2000-01-10,1632.95,26.57,22.642490947794958,1459.62625,50000,30.61943109097033,537150.5557426743,125000,76.54857772742582,1342876.3893566856,100000,61.23886218194066,1074301.1114853485,11.05533469032627,11.05533469032627,11.05533469032627
2000-01-11,1572.5,25.59,22.63975304078797,1459.62625,50000,31.79650238473768,557799.6820349761,125000,79.4912559618442,1394499.2050874403,100000,63.59300476947536,1115599.3640699522,11.241935691180416,11.241935691180416,11.241935691180416
2000-01-12,1624.8,26.44,22.63701513378098,1459.62625,50000,30.773018217626785,539844.9039881831,125000,76.93254554406697,1349612.259970458,100000,61.54603643525357,1079689.8079763663,11.082701548288277,11.082701548288277,11.082701548288277
2000-01-13,1621.4,26.38,22.634277226773992,1459.62625,50000,30.837547798199086,540976.933514247,125000,77.09386949549771,1352442.3337856173,100000,61.67509559639817,1081953.867028494,11.094394929363771,11.094394929363771,11.094394929363771
2000-01-14,1622.75,26.41,22.631539319767004,1459.62625,50000,30.81189339084887,540526.8833769836,125000,77.02973347712216,1351317.2084424587,100000,61.62378678169774,1081053.7667539672,11.091723516897023,11.091723516897023,11.091723516897023
2000-01-17,1611.6,26.22,22.62332559874604,1459.62625,50000,31.025068255150163,544266.5673864483,125000,77.56267063787541,1360666.4184661207,100000,62.05013651030033,1088533.1347728965,11.129829279673743,11.129829279673743,11.129829279673743
2000-01-18,1606.7,26.15,22.62058769173905,1459.62625,50000,31.11968631356196,545926.4330615547,125000,77.7992157839049,1364816.0826538869,100000,62.23937262712392,1091852.8661231094,11.146209756794413,11.146209756794413,11.146209756794413
2000-01-19,1634.85,26.6,22.617849784732062,1459.62625,50000,30.58384561274735,536526.2868153042,125000,76.45961403186837,1341315.7170382603,100000,61.1676912254947,1073052.5736306084,11.062311983340155,11.062311983340155,11.062311983340155
2000-01-20,1601.1,26.05,22.615111877725074,1459.62625,50000,31.228530385360067,547835.8628442945,125000,78.07132596340017,1369589.6571107365,100000,62.45706077072013,1095671.725688589,11.16621510756941,11.16621510756941,11.16621510756941
2000-01-21,1620.6,26.37,22.612373970718085,1459.62625,50000,30.852770578797976,541243.9837097371,125000,77.13192644699494,1353109.9592743427,100000,61.70554115759595,1082487.9674194742,11.1081421592361,11.1081421592361,11.1081421592361
